Speaker_ID,Start_Time,End_Time,Duration_Seconds,Word_Count,Confidence,Reason,Content
16,2025-08-18T13:28:32.93,2025-08-18T13:29:20.047,8.0,160,high,long pause (2.1s),"supplier program is um an entry point for producers that are looking to scale up their operations to access wholesale markets. Uh, it was created to have a need to be able to serve institutions, primarily the public school system, um, so that our students could benefit from healthy local food and then we've seen the constant expansion and opportunity that approved supplier program not only provides um food safety training but also other capacity building supports for growers. Um, some of the things that we ' re really proud of is that we are all across the state working to serve our farmers and ranchers and that we really focus in on integrating strategies and leveraging resources that are available for farmers such as again, many of our partners here we're all working together to see that systems level change so that your investments aren't piecemeal, but they're actually felt in a more comprehensive way, uh, by our communities."
17,2025-08-18T13:29:24.83,2025-08-18T13:29:51.847,4.75,90,high,long pause (4.8s),"So, um, as I mentioned, the markets that are served by our New Mexico Grown Approved supplier program are what we call, you know, kind of nutrition and community food programs, those programs that are administered by the state and public partners to be able to serve folks, um, where they eat and play and work every single day, so that looks like schools, childcare centers, senior centers, nutrition, community-based nutrition programs, um, and all in all that market is really significant for our farmers by unlocking opportunities to, to"
18,2025-08-18T13:29:54.63,2025-08-18T13:30:50.28,9.5,193,high,long pause (2.8s),"get their products into those markets, they're able to scale up, um, not only in the practices that they're using and the production outputs, um, but in how they work with other with their markets and with other producers to meet the demand. So we're seeing kind of organic relationships or what we like to call value chain coordination occurring, um in this slide we talk about it as our supply chain and I know my colleague Erin will talk about the state investments and supply chain, uh, but without farmers growing food, we don't have food, right? Um, and then without the infrastructure to be able to move that product to market. We don't see the impact in our communities and then to be able to evaluate it and continue to invest in what's working and that's what we're here to tell the story of today. We also work really hard, um, to be able to promote again small diversified farming. So we're talking about folks that are using traditional production systems that are keeping food in their communities, reducing food miles, improving healthy soils, and taking advantage of our water rights."
19,2025-08-18T13:30:54.73,2025-08-18T13:31:01.346,1.5,29,high,long pause (4.5s),"The approved supplier program, as I mentioned earlier, was created to be able to, uh, increase the capacity of producers wanting to sell to wholesale market so you'll see"
20,2025-08-18T13:31:02.863,2025-08-18T13:31:52.513,9.0,159,medium,medium pause (1.5s) + speech pattern,"up here in the green that looks like the New Mexico grown, uh, marketplace which is administered through the public education department serving K through 12 students, aging and long-term Services Department and Office of Indian Elder Affairs serving our elder populations, early childhood education and care departments serving, uh, preschools and now this year, um, some home-based centers as well and then our partnership with the Department of Health Senior Wick and Farmers Market Nutrition Program to ensure that producers are accessing those markets with the best quality food that can come back into community. In addition, we are also working with partners to leverage infrastructure resources, um, so my colleague here with the economic development department, uh, the Mexico Department of Ag, the RFSI program that was mentioned earlier, we've seen lots of that investment impact directly the producers that we work with and then also the environment department and opening pathways for minimally processed foods coming"
21,2025-08-18T13:31:54.896,2025-08-18T13:32:22.38,4.75,107,high,long pause (2.4s),"into our school's senior centers and preschools. These very same farmers are also doing a lot of direct to consumer sales and so many of these growers came up in the farmers' markets and, and we would observe that at the end of the day there was extra products that they couldn't market. The approved supplier programs have been really key in helping them to connect in a way that preserves their time and then allows them to stay out in the field farming and doing what they do best by doing wholesale production. That said, we know many of our growers really value that direct relationship"
22,2025-08-18T13:32:24.63,2025-08-18T13:32:39.08,2.5,54,high,long pause (2.2s),"with community, being able to engage in the direct space and we're also seeing um an expansion of opportunity with the Double Up Food Bucks program, which we also s stored on behalf of producers and getting that work um to help some of our growers enter into grocery stores, and we hope into"
23,2025-08-18T13:32:43.163,2025-08-18T13:32:44.08,0.5,9,high,long pause (4.1s),an expanded way into the food is medicine programs.
24,2025-08-18T13:32:45.296,2025-08-18T13:32:51.146,1.25,30,medium,formal introduction,"I'm not gonna spend too long here on the buyer side equation, but I wanted to talk a little bit about the impacts of your investment in New Mexico grown"
25,2025-08-18T13:32:53.33,2025-08-18T13:33:33.146,6.5,132,high,long pause (2.2s),"to date. New Mexico grown, um, has been around for about 12 years and it's a state incentive program to increase local foods in schools, senior centers, early childhood education centers, um, and food banks through the regional farm to food bank pilot. Uh, the program grew from 2012 when we had just a couple dozen producers serving a set of 10 schools and now we've expanded to well over 250 farmers and ranchers across the state, um, and the markets are continuously growing as well as you'll see here. uh, our, our approved suppliers are generally very small farms operating on less than 10 acres. uh, majority of which are considered by USDA to be historically marginalized or disadvantaged, so we're able to leverage those federal investments to support them as"
26,2025-08-18T13:33:35.163,2025-08-18T13:33:40.88,1.5,29,high,long pause (2.0s),"well, um, and overall we see somewhere between a 4 and $5 million dollar market opportunity, um, that's going straight back into the pockets of our farmers and ranchers."
27,2025-08-18T13:33:45.33,2025-08-18T13:34:06.88,3.5,74,high,long pause (4.5s),"Double up food bucks. Um, I'm not gonna spend too much time on this here today other than to say, uh, we talked, I heard a lot of uh really valuable conversations today about the impact of, uh, nutrition incur on New Mexico. Double up Foodbucks is a proven strategy to address that in a way that uplifts community autonomy and supports our farmers with a dependable reliable market through uh the match program."
28,2025-08-18T13:34:09.13,2025-08-18T13:34:11.08,0.5,12,high,long pause (2.2s),"We, we encourage and hope to see that continue because there are"
29,2025-08-18T13:34:13.096,2025-08-18T13:34:17.18,1.0,20,high,long pause (2.0s),many growers that utilize all of these programs some here today that will talk about that that are accessing multiple
30,2025-08-18T13:34:20.93,2025-08-18T13:34:22.38,0.75,10,high,long pause (3.8s),markets through their entry point into the approved supplier program.
31,2025-08-18T13:34:24.663,2025-08-18T13:34:25.613,0.5,12,high,long pause (2.3s),"This is my favorite part, but I won't spend too much time"
32,2025-08-18T13:34:27.03,2025-08-18T13:34:47.746,4.0,84,medium,formal introduction,"because I'm first, uh, but to be able to talk about the stories that actually happened on the ground. We know that the folks that benefit from this program know the difference between local food and food purchased from mainline distributors. The food tastes better, it's more nutritious. They're able to get products that are culturally aligned that you simply can't get from a broadline distributor like Chicos. Try try calling them and asking them for that, right? Um, so we're able to get"
33,2025-08-18T13:34:50.763,2025-08-18T13:34:52.48,0.75,14,high,long pause (3.0s),"those into the institutions, um, and our food service partners are continuously singing the"
34,2025-08-18T13:34:54.63,2025-08-18T13:35:08.813,2.75,54,high,long pause (2.1s),"praises of producers and building lasting relationships that impact the overall institutional food system we really see the approved supplier program not only as an entry point but as a sandbox if you will, for people to try out new innovative ways of purchasing food and to see what works well for their community."
35,2025-08-18T13:35:14.63,2025-08-18T13:35:27.58,2.75,58,high,long pause (5.8s),"So today, um, we are here to make an ask and you'll continue to see me and my colleagues talking about the approved supplier program. Honestly, we believe that it's a very minimal investment for an incredible amount of impact coming right back into our communities to the constituents you serve to our children and elders, uh, we're"
36,2025-08-18T13:35:30.663,2025-08-18T13:35:30.913,0.25,5,high,long pause (3.1s),asking for $430 of um
37,2025-08-18T13:35:32.996,2025-08-18T13:35:42.513,2.25,47,high,long pause (2.1s),"reoccurring funding. I do wanna just take a moment to say, you know, one of our challenges I think you can appreciate is the state fiscal year and our farming years don't quite add up. Um, and so we're constantly met with this issue of being able"
38,2025-08-18T13:35:44.596,2025-08-18T13:36:32.313,8.5,174,high,long pause (2.1s),"to guarantee a reliable market for our producers and so one of our core strategies that the NMFMA is really to diversify market opportunity and that's where we're working in grocery stores, retail environments, um, and also, you know, bolstering sales through farmers' markets, as well as the institutions which was mentioned earlier, for example, the Healthy universal school meals program, um, deciding to allegate allocate consistent funding to this program is essential for farmers being actually put those plants in the ground, um, and for us to, you know, reap the benefits of that come har ve s t season when we're in a new fiscal year. Uh, are, are there other askings around supporting and bolstering the double Up Food Bucks program, uh, realizing again that many of our growers have come to depend on that market and then it also creates lasting impacts on, on community health and on family behavioral change around food, um, and so we ask that you consider these and thank you so much for the opportunity."
39,2025-08-18T13:36:39.696,2025-08-18T13:36:40.613,0.5,8,high,long pause (7.4s); thank you transition,"Thank you very much. Uh, next up, Erin."
40,2025-08-18T13:37:00.996,2025-08-18T13:37:01.246,0.25,3,high,long pause (20.4s),I like this
41,2025-08-18T13:37:06.863,2025-08-18T13:37:08.846,0.5,9,high,long pause (5.6s),"Good afternoon, Madam Chair, members of the committee. My"
42,2025-08-18T13:37:09.396,2025-08-18T13:37:15.679,1.5,29,medium,formal introduction,"name is Aaron Ortigoza. I'm the food, hunger, and agriculture program manager for the New Mexico Economic Development Department. It's my pleasure today to give you an update on"
43,2025-08-18T13:37:18.596,2025-08-18T13:37:24.946,1.75,38,high,long pause (2.9s),the program and some of the uh ways the investments that you all have supported have helped grow our capacity in EDD to work with a lot of the colleagues that are present here speaking on this panel.
44,2025-08-18T13:37:33.163,2025-08-18T13:37:50.879,3.0,62,high,long pause (8.2s),"So as many of you are aware, the program mission really began to support the intersection of economic development in New Mexico's food and agricultural sector with increased food security for New Mexicans. Um, this is a pivotal part of the governor's food initiative, and we were one of several, um, agencies to receive funding for dedicated roles to focus on food"
45,2025-08-18T13:37:52.896,2025-08-18T13:38:00.046,1.5,23,high,long pause (2.0s),"security, so EDD's, um, developed the ability to focus on um financial tools and technical assistance that are very tailored Is this better"
46,2025-08-18T13:38:02.929,2025-08-18T13:38:06.413,1.0,13,high,long pause (2.9s),that are specifically tailored for small and mid-scale food processing and agricultural enterprises.
47,2025-08-18T13:38:08.629,2025-08-18T13:38:15.613,1.5,25,high,long pause (2.2s),"Um, we work on, uh, the workforce development challenges um through creation and retention of jobs and really focusing on strengthening and divers diversifying in-state"
48,2025-08-18T13:38:18.563,2025-08-18T13:38:32.513,2.75,51,high,long pause (3.0s),"market channels for the um producers and food businesses in New Mexico. We, um, are also very actively working with um uh those producers employing regenerative and traditional agricultural practices and so we'll look at a little bit of the ways these projects have evolved over the last couple of years."
49,2025-08-18T13:38:37.129,2025-08-18T13:38:59.346,3.75,69,high,long pause (4.6s),"So coming up this fall, we have the food, the Healthy food financing fund's 4th grant cycle. Um, this has been made possible by the amazing investment that you all have allocated for us in this coming fiscal year and we will be providing um grants for pre-production, production, processing projects, aggregation distribution, or food hub projects and food retail throughout the state and we'll be providing grants between"
50,2025-08-18T13:39:01.929,2025-08-18T13:39:02.746,0.5,7,high,long pause (2.6s),"$50,000 and $150,000 to the awardee selected."
51,2025-08-18T13:39:05.196,2025-08-18T13:39:21.179,3.0,59,high,long pause (2.5s),"A couple of the other initiatives that I'd like to introduce to you all that have evolved over the last couple of years are include the New Mexico food pathways. This program has been made possible by a federal allocation of funds through the Healthy Food financing initiative and in partnership with Vitamehor Capital, New Mexico State University, and"
52,2025-08-18T13:39:23.396,2025-08-18T13:39:42.179,3.25,65,high,long pause (2.2s),"the um Vita uh and uh the loan fund and the Santa Fe Farmers Market Institute. We are opening up a technical assistance um track for no cost business consulting and access to that would lead them to access to capital uh, grants and low interest loan loans, tailored toward these businesses, and support for um food retail businesses to access Snap, uh, application support."
53,2025-08-18T13:39:46.629,2025-08-18T13:40:13.579,5.0,88,high,long pause (4.5s),"as was mentioned earlier, we're also part of the resilient Food System infrastructure program where a sister agency implementing with NMDA and there's currently 18 projects statewide, um, the, the projects are, um, high touch. They're getting a lot of um resources and technical assistance for their project imple implementation really focusing on the middle of the supply chain, um, so post-production all the way to back of the retail store and really honing in on um cold storage capacity, aggregation, and transportation and processing within that chain."
54,2025-08-18T13:40:16.996,2025-08-18T13:40:29.646,2.5,52,high,long pause (3.4s),"So this year we're also gonna be launching a feasibility study. Um, we'll be doing a sustainable local food transportation route study for rural frontier communities, tribal and urban regions of the state in conversations with a lot of our partners and a lot of the businesses we work with, um, we"
55,2025-08-18T13:40:32.629,2025-08-18T13:40:48.779,3.0,50,high,long pause (3.0s),"see a huge need for a current um assessment of the landscape of food distribution systems to really evaluate the economic feasibility of establishing or expanding transportation options, um, piloting new routes, working with what kinds of um partnership or investment recommendations and strategies might support longer term route viability."
56,2025-08-18T13:40:52.629,2025-08-18T13:41:05.679,2.25,40,high,long pause (3.9s),"and we'll also be launching a community of practice before food distribution and retailers throughout the state. This is really to hone in on um ongoing conversations, uh, productive space for, um, opportunities for networking, mentorship and collaboration, specialized topic"
57,2025-08-18T13:41:08.729,2025-08-18T13:41:13.846,1.25,24,high,long pause (3.0s),"focuses, and, um, again, looking at strategies that lift all ships, right? Everybody's gonna be learning from each other in this program this year."
58,2025-08-18T13:41:18.629,2025-08-18T13:41:35.446,3.25,68,high,long pause (4.8s),So the New Mexico Healthy Food Financing Fund is our cornerstone project that that we've been running for now 4 years. This is a map of where all of the projects are in the state currently. Over 4141 grants over $1.7 million has currently been successfully implemented. There will be about 1.5 million more this year invested into our food value chain. So thank you so much for
59,2025-08-18T13:41:37.463,2025-08-18T13:41:46.179,1.75,36,high,long pause (2.0s),"that and some of the, you know, outcomes we're seeing currently, all of the, um, you know, there has been expanded, um, opportunities that a lot of the beneficiaries have been working now with like 12"
60,2025-08-18T13:41:48.629,2025-08-18T13:41:48.879,0.25,6,high,long pause (2.5s),or more local vendors on average
61,2025-08-18T13:41:50.963,2025-08-18T13:41:51.979,0.5,9,high,long pause (2.1s),"procurement wise and all our reporting, um, increased growth"
62,2025-08-18T13:41:54.696,2025-08-18T13:41:56.779,0.75,13,high,long pause (2.7s),"and sales and we've to date served over 80,000 clients through this program."
63,2025-08-18T13:42:01.362,2025-08-18T13:42:17.579,2.75,55,high,long pause (4.6s),"an example of one of our projects is the B Street Market, which is a woman-owned grocery store in Mountainair, um, they're their project was suppo uh to expand the cold storage and display capabilities, um, which is really added their capabilities to purchase from more local farmers and ranchers, and they're now selling over"
64,2025-08-18T13:42:20.896,2025-08-18T13:42:23.446,0.75,16,high,long pause (3.3s),"£16,000 of local food and um really helping them to maintain their workforce and um increase"
65,2025-08-18T13:42:25.129,2025-08-18T13:42:32.379,1.75,28,medium,medium pause (1.7s) + speech pattern,"uh quality of jobs for their current employees and it's really kind of a, a demonstration of what we're seeking to support our local retailers with independent retailers."
66,2025-08-18T13:42:36.796,2025-08-18T13:42:38.746,0.75,17,high,long pause (4.4s),"OK, now is the end of my presentation and I will pass it along to my colleague."
67,2025-08-18T13:43:12.662,2025-08-18T13:43:13.612,0.5,9,high,long pause (33.9s),"So good afternoon, Madam Chair and representatives of the"
68,2025-08-18T13:43:15.062,2025-08-18T13:43:22.046,1.5,27,medium,formal introduction,"committee. My name is Veronica Grego, and I am the program manager for the senior and WIC Farmers' Market nutrition Program, the New Mexico Department of Health."
69,2025-08-18T13:43:24.829,2025-08-18T13:43:30.946,1.25,31,high,long pause (2.8s); formal introduction,"Um, today I'm gonna, uh, go over what our program is because I know a lot of people do not understand what our program is and when it actually started. So"
70,2025-08-18T13:43:33.162,2025-08-18T13:43:36.912,0.75,14,high,long pause (2.2s),"our program started in 1992, um, when the farmers' Market Nutrition Act, um, was"
71,2025-08-18T13:43:38.929,2025-08-18T13:43:41.912,0.75,16,high,long pause (2.0s),established for the WIC farmers' market nutrition program that is for the Wick families that are
72,2025-08-18T13:43:44.629,2025-08-18T13:43:57.546,2.5,40,high,long pause (2.7s),"active on the on the WIC program. That is for our pregnant breastfeeding postpartum infants and children's 6 months to 5 years old. Um, New Mexico actually was the first state to implement our WWIC FMMP program, and that was"
73,2025-08-18T13:44:00.629,2025-08-18T13:44:00.879,0.25,6,high,long pause (3.1s),through the entire nation. In 20
74,2025-08-18T13:44:03.096,2025-08-18T13:44:05.379,0.5,9,high,long pause (2.2s),"2002, the senior farmers' market program, what became permanent"
75,2025-08-18T13:44:07.429,2025-08-18T13:44:07.679,0.25,6,high,long pause (2.0s),under the farm bill. New Mexico
76,2025-08-18T13:44:10.662,2025-08-18T13:44:17.379,1.0,22,high,long pause (3.0s),"implemented it in 2002, right after it was implemented under the Farm Bill. That program is for eligible seniors who are 60+"
77,2025-08-18T13:44:19.862,2025-08-18T13:44:20.779,0.5,7,high,long pause (2.5s),who are non-Native American. 55+ Native American.
78,2025-08-18T13:44:23.296,2025-08-18T13:44:25.612,0.5,10,high,long pause (2.5s),"This program is income based, um, we have always been"
79,2025-08-18T13:44:28.629,2025-08-18T13:44:28.879,0.25,6,high,long pause (3.0s),federally funded and we do have
80,2025-08-18T13:44:31.162,2025-08-18T13:44:31.412,0.25,8,high,long pause (2.3s),to go off of um the 185% um
81,2025-08-18T13:44:34.729,2025-08-18T13:44:39.412,1.0,19,high,long pause (3.3s),"income bracket as far as state funds, we actually started getting non-reoccurring state funds for this program 2 years"
82,2025-08-18T13:44:42.662,2025-08-18T13:44:42.912,0.25,7,high,long pause (3.2s),ago and we based that off 200%
83,2025-08-18T13:44:45.129,2025-08-18T13:44:45.379,0.25,4,high,long pause (2.2s),"federal poverty guidelines. Um,"
84,2025-08-18T13:44:49.096,2025-08-18T13:44:50.112,0.5,11,high,long pause (3.7s),"in 2021, New Mexico, we actually led the nation in introducing"
85,2025-08-18T13:44:53.362,2025-08-18T13:44:53.612,0.25,5,high,long pause (3.2s),a modern technology system which
86,2025-08-18T13:44:56.629,2025-08-18T13:45:06.846,1.75,38,high,long pause (3.0s),"which included a proof of concept for our mobile app, which you see up here, and for our shopper cart, which has a QR code, which allows our participants to go to farmers and get away from paper"
87,2025-08-18T13:45:09.396,2025-08-18T13:45:19.979,2.0,47,high,long pause (2.5s),"vouchers, um, and be able to go to farmers' markets and purchase their benefits. Prior to this, when they had a paper vouchers, they had to spend the entire dollar amount that was on that voucher. So now with this card they're able to spend a pen"
88,2025-08-18T13:45:22.862,2025-08-18T13:45:23.112,0.25,8,high,long pause (2.9s),ny to up to the balance of what
89,2025-08-18T13:45:25.396,2025-08-18T13:45:31.512,1.0,25,high,long pause (2.3s),"they get. Um, we do only provide a one-time benefit for the year, that is because of the funding that we do currently have. Um"
90,2025-08-18T13:45:35.362,2025-08-18T13:45:41.612,1.0,23,high,long pause (3.9s),"in 2024, I actually implemented a food box program for our WIC participants for our children and our mothers who are on WIC"
91,2025-08-18T13:45:44.896,2025-08-18T13:45:47.212,0.5,14,high,long pause (3.3s),"in rural areas, and so what I do there is I utilize federal money"
92,2025-08-18T13:45:49.429,2025-08-18T13:45:49.679,0.25,7,high,long pause (2.2s),to be able to take federal food
93,2025-08-18T13:45:53.129,2025-08-18T13:45:53.379,0.25,5,high,long pause (3.5s),boxes or actually state food
94,2025-08-18T13:45:56.629,2025-08-18T13:46:01.479,1.0,23,high,long pause (3.2s),"boxes of state produce, which you see here, and our farmers actually are the ones who uh fill these boxes. This is a"
95,2025-08-18T13:46:04.629,2025-08-18T13:46:04.879,0.25,6,high,long pause (3.1s),program I did with Edgar Katuda
96,2025-08-18T13:46:05.696,2025-08-18T13:46:05.946,0.25,7,medium,formal introduction,and um I'm also doing it with
97,2025-08-18T13:46:08.862,2025-08-18T13:46:12.846,0.75,17,high,long pause (2.9s),Frontier Food Hub and um these are some programs that are out there that are helping me
98,2025-08-18T13:46:15.196,2025-08-18T13:46:16.112,0.5,8,high,long pause (2.4s),deliver these produce boxes to the rural areas.
99,2025-08-18T13:46:19.096,2025-08-18T13:46:23.112,0.75,16,high,long pause (3.0s),"Um, as I mentioned, agricultural support, we go out and we partner with New Mexico grown"
100,2025-08-18T13:46:25.129,2025-08-18T13:46:32.879,1.25,34,high,long pause (2.0s),farmers and our food hubs to help them um assemble our fresh produce boxes. There are 2 of us in that in this program that run it for the state and we do go
101,2025-08-18T13:46:34.896,2025-08-18T13:46:47.646,2.0,45,high,long pause (2.0s),"out there and we do help create these boxes. If our programs are unable to deliver, we will go out and deliver them ourselves. um, these boxes, as you can see here in the middle picture, it does include beans, posole, ho ney chili, fruits,"
102,2025-08-18T13:46:50.629,2025-08-18T13:46:52.879,0.5,10,high,long pause (3.0s),"vegetables, herbs, anything that is locally grown and made here"
103,2025-08-18T13:46:55.396,2025-08-18T13:47:05.646,1.75,37,high,long pause (2.5s),"in New Mexico, um, we do deliver directly to senior centers in rural and tribal communities that is some additional money that I am utilizing with that non-reoccurring funding from the state. Um, the value for these"
104,2025-08-18T13:47:08.929,2025-08-18T13:47:14.212,1.25,25,high,long pause (3.3s),"boxes are $50 to $100 all depending on how much the produce is. It is a way to support the nutrition for our seniors, um."
105,2025-08-18T13:47:16.829,2025-08-18T13:47:17.079,0.25,6,high,long pause (2.6s),we wanted to really show you
106,2025-08-18T13:47:19.096,2025-08-18T13:47:21.412,0.5,10,high,long pause (2.0s),"these these pictures. Currently right now I, my program does"
107,2025-08-18T13:47:24.596,2025-08-18T13:47:36.579,2.25,46,high,long pause (3.2s),work with 47 farmers' markets on the program. We have 608 farmers who are currently signed up to accept our shopper card and mobile app. We have 40 farm stands and mobile markets that are also on the program and partnership with Ford Local food hubs.
108,2025-08-18T13:47:39.362,2025-08-18T13:47:41.112,0.5,11,high,long pause (2.8s),"um, in state fiscal year 2026 with the funding that I"
109,2025-08-18T13:47:43.329,2025-08-18T13:47:43.579,0.25,5,high,long pause (2.2s),"currently have, I can serve"
110,2025-08-18T13:47:46.595,2025-08-18T13:47:47.779,0.5,9,high,long pause (3.0s),"2,385 participants with federal funds. That has gone down."
111,2025-08-18T13:47:51.362,2025-08-18T13:47:54.879,0.75,16,high,long pause (3.6s); formal introduction,"Um, in New Mexico, I'm not sure if my director actually mentioned that, but our WIC"
112,2025-08-18T13:47:57.362,2025-08-18T13:47:59.645,0.5,10,high,long pause (2.5s),"program actually serves 459,000 WI families yearly. So as you"
113,2025-08-18T13:48:00.829,2025-08-18T13:48:02.412,0.75,13,medium,formal introduction,"can see, I'm not touching that with the funds that I currently have."
114,2025-08-18T13:48:05.295,2025-08-18T13:48:05.545,0.25,6,high,long pause (2.9s),"Um, state fiscal year 2026 for"
115,2025-08-18T13:48:09.395,2025-08-18T13:48:13.312,0.75,16,high,long pause (3.9s),"our seniors, um, we have 15,352 participants that I can actually serve with federal and state"
116,2025-08-18T13:48:16.595,2025-08-18T13:48:19.579,0.75,15,high,long pause (3.3s),"funds. That is combined. Um, aging and long term care services, um, last year they"
117,2025-08-18T13:48:22.862,2025-08-18T13:48:32.545,1.75,38,high,long pause (3.3s),"estimated amount was 50,680 seniors that they serve. As you can see, there's a pretty large gap there as well. Um, on the map here, this, I just wanted to show you the locations of where our market"
118,2025-08-18T13:48:35.162,2025-08-18T13:48:41.645,1.25,29,high,long pause (2.6s),"s are, which is the red, and those are where our markets are. Currently, I am focused this year, um, as I mentioned, there are 2 of us and"
119,2025-08-18T13:48:45.095,2025-08-18T13:48:55.579,1.75,40,high,long pause (3.5s),"I have to focus my um self on regions to be able to provide these food boxes or services such as a shopper cart especially if there isn't market, there's no markets in this areas, um, so as you can"
120,2025-08-18T13:48:58.595,2025-08-18T13:49:02.845,0.75,14,high,long pause (3.0s),see we are focusing our um program resources on the Northeast region which is
121,2025-08-18T13:49:05.129,2025-08-18T13:49:06.012,0.5,8,high,long pause (2.3s),"towards the Clayton um area in Ratone, um,"
122,2025-08-18T13:49:08.629,2025-08-18T13:49:10.245,0.75,15,high,long pause (2.6s),there's gonna be other several different areas that I will be touching in that area.
123,2025-08-18T13:49:15.395,2025-08-18T13:49:17.645,0.5,12,high,long pause (5.2s),"Um, I am gonna continue on the support for our producers. We"
124,2025-08-18T13:49:20.629,2025-08-18T13:49:27.845,1.25,22,high,long pause (3.0s),"approve our farmers to establish farm stands in their own communities to enhance those local sales, um, such as Columbus, Demming, Lordsburg,"
125,2025-08-18T13:49:30.595,2025-08-18T13:49:35.679,1.0,24,high,long pause (2.8s),"Lemington, and Hatch. There are several others out there as well, but the one that I really want to focus on and I really,"
126,2025-08-18T13:49:38.662,2025-08-18T13:49:38.912,0.25,6,high,long pause (3.0s),"really enjoy, um, sharing is our"
127,2025-08-18T13:49:41.062,2025-08-18T13:49:42.012,0.5,9,high,long pause (2.1s),Columbus in Deminario. We have one farmer out there.
128,2025-08-18T13:49:45.129,2025-08-18T13:49:55.379,1.75,45,high,long pause (3.1s),"who we met in Las Cruces, um, in May, and he signed up on our program out there to be a farmer, and then he decided he wanted to start a farmstead in Demming in Columbus. So now he goes out and he actually sells"
129,2025-08-18T13:49:57.395,2025-08-18T13:50:27.079,4.5,97,high,long pause (2.0s),"every twice a month to our participants on our program to be able to purchase local fresh produce directly from his farm and so that is just something that we we do as a program. How can we get you to provide these local uh local produce to these seniors that don't have access to anything, whether it's seniors even or WIC families. There's no markets in those areas. The seniors don't want to drive. They can't drive. Um, so there's the transportation issues that we deal with. Um, the next is the funding for our bulk"
130,2025-08-18T13:50:29.195,2025-08-18T13:50:37.345,1.25,29,high,long pause (2.1s),"purchases. The money that I utilize, um, I did get 1 million this year of of the non-recurring. I utilize that to issue to our seniors. I also use"
131,2025-08-18T13:50:39.395,2025-08-18T13:50:41.245,0.5,11,high,long pause (2.0s),that for our bulk purchases. So it's all combined in one
132,2025-08-18T13:50:43.329,2025-08-18T13:50:47.412,0.75,16,high,long pause (2.1s),"We, um, like I mentioned, I do work with New Mexico Harvest Frontier Food Hub, Agricatura,"
133,2025-08-18T13:50:50.662,2025-08-18T13:50:53.812,0.75,17,high,long pause (3.2s),"Ogala Commons, um, local food for all mobile market, Coastal Farms is a local farmer in Santa"
134,2025-08-18T13:50:56.629,2025-08-18T13:51:05.845,1.75,38,high,long pause (2.8s),"Fe or Espanola, who actually decided he wanted to help me with local produce boxes in the rural areas, um, that don't have access and so what he's been delivering to tribal senior centers and senior centers this"
135,2025-08-18T13:51:08.895,2025-08-18T13:51:11.945,0.75,14,high,long pause (3.0s),"year, um, and so they've been enjoying those, those boxes have been getting delivered"
